 🇨🇳｜央视频道,#genre#
CCTV-1 综合,http://117.184.239.60/liveplay-kk.rtxapp.com/live/program/live/cctv1hd8m/8000000/mnf.m3u8
CCTV-1 综合,http://live.cooltv.top/tv/aishang.php?id=cctv1hd
CCTV-1 综合,http://cctvwbndali.v.myalicdn.com/cctvwbnd/cctv1_2/index.m3u8
CCTV-1 综合,http://a.xttv.top/xttv/27f43e697655f4d44c62d7f4d32fcctv.m3u8
CCTV-1 综合,http://l2.weihai.tv:8081/hls/KUB5c2t3hc.m3u8
CCTV-1 综合,http://121.51.249.6/4403-tx.otvstream.otvcloud.com/otv/skcc/live/channel1/index.m3u8
CCTV-1 综合,http://lu1.cc/c/tv/sjtv/p/yztv.php?id=cctv1
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV-1 综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1 综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1 综合,http://222.240.82.92:9901/tsfile/live/0001_1.m3u8
CCTV-1 综合,http://39.134.116.30:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV-1 综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV-1 综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1 综合,http://39.135.138.58:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1 综合,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1 综合,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1 综合,http://117.169.120.244:8080/wh7f454c46tw2520989601_203106496/hwrr.jx.chinamobile.com/PLTV/88888910/224/3221225618/index.m3u8?icpid=88888910&RTS=1648965019&from=79102&ocs=2_117.169.120.241_8080&hms_devid=1402&online=1648965019&vqe=3
CCTV-1 综合,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1 综合,http://111.59.189.40:8445/tsfile/live/1000_1.m3u8
